City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Gisborne,NZ,-38.6533,178.0042,62.94,79,100,6.33,moderate rain
80,Mandalgovi,MN,45.7625,106.2708,43.0,49,88,6.51,overcast clouds
81,Vostok,RU,46.4856,135.8833,37.29,76,100,4.0,overcast clouds
82,Ilulissat,GL,69.2167,-51.1,26.62,68,75,1.14,broken clouds
83,Tahta,EG,26.7693,31.5021,73.65,40,0,9.22,clear sky
84,Mafinga,TZ,-7.25,35.0667,71.74,44,99,4.81,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,57.27,67,0,11.5,clear sky
86,Kruisfontein,ZA,-34.0033,24.7314,59.88,96,30,6.78,scattered clouds
87,Hobart,AU,-42.8794,147.3294,49.86,62,75,4.0,broken clouds
88,Colares,PT,38.7992,-9.4469,71.33,64,66,5.01,broken clouds
89,Saint George,US,37.1041,-113.5841,80.44,33,1,1.01,clear sky
90,Faanui,PF,-16.4833,-151.75,78.69,71,2,12.68,clear sky
91,Yulara,AU,-25.2406,130.9889,58.84,51,0,13.8,clear sky
92,Bandarbeyla,SO,9.4942,50.8122,79.57,82,100,21.94,overcast clouds
93,Manthani,IN,18.65,79.6667,76.21,92,62,4.25,broken clouds
94,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,15,0,11.5,clear sky
95,Port Elizabeth,ZA,-33.918,25.5701,62.1,94,20,8.05,few clouds
96,Esperance,AU,-33.8667,121.9,48.72,75,79,9.48,broken clouds
97,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,75,16.11,broken clouds
98,Avera,US,33.194,-82.5271,74.71,87,100,7.78,light rain
99,Namibe,AO,-15.1961,12.1522,62.04,82,90,7.16,overcast clouds
100,Dukat,RU,62.55,155.55,9.72,92,14,2.62,few clouds
101,Saryozek,KZ,44.3583,77.9753,27.57,65,38,2.71,scattered clouds
102,Srednekolymsk,RU,67.45,153.6833,16.86,78,69,6.42,broken clouds
103,Port Macquarie,AU,-31.4333,152.9167,62.82,42,98,4.63,overcast clouds
104,Bredasdorp,ZA,-34.5322,20.0403,60.28,94,29,10.8,scattered clouds
105,Hlotse,LS,-28.8718,28.045,58.64,44,4,4.65,clear sky
106,Sitka,US,57.0531,-135.33,49.89,66,40,4.61,scattered clouds
107,Ancud,CL,-41.8697,-73.8203,53.13,62,0,4.12,clear sky
108,Kodinsk,RU,58.6881,99.1844,27.73,84,79,6.4,broken clouds
109,Sunrise Manor,US,36.2111,-115.0731,86.23,32,1,6.91,clear sky
110,Ahipara,NZ,-35.1667,173.1667,58.66,96,100,3.89,moderate rain
111,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,65,20,16.11,few clouds
112,Pisco,PE,-13.7,-76.2167,66.25,72,0,16.11,clear sky
113,Richards Bay,ZA,-28.783,32.0377,65.03,86,98,3.94,light rain
114,Ostrovnoy,RU,68.0531,39.5131,47.48,88,100,20.89,overcast clouds
115,Acarigua,VE,9.5545,-69.1956,74.91,79,97,4.52,overcast clouds
116,Pemangkat,ID,1.1667,108.9667,78.21,87,90,8.12,overcast clouds
117,Porosozero,RU,62.7191,32.727,46.04,79,47,14.05,scattered clouds
118,Bonthe,SL,7.5264,-12.505,79.27,84,77,5.37,broken clouds
119,Inhambane,MZ,-23.865,35.3833,71.28,73,83,10.33,broken clouds
120,Arbagar,RU,51.9438,116.2805,33.08,88,18,5.57,few clouds
121,Ondjiva,AO,-17.0667,15.7333,78.01,16,100,6.89,overcast clouds
122,Hienghene,NC,-20.6833,164.9333,77.56,52,0,2.8,clear sky
123,Vidim,RU,56.4088,103.1106,26.85,82,25,4.38,scattered clouds
124,Tura,IN,25.5198,90.2201,72.55,88,5,2.04,clear sky
125,Rawson,AR,-43.3002,-65.1023,57.79,24,2,14.2,clear sky
126,Sechura,PE,-5.5569,-80.8222,72.72,65,27,19.37,scattered clouds
127,Quatre Cocos,MU,-20.2078,57.7625,71.1,83,14,5.32,few clouds
128,Filingue,NE,14.3521,3.3168,92.3,25,42,7.25,scattered clouds
129,Nome,US,64.5011,-165.4064,42.87,76,90,14.97,light rain
130,Abu Dhabi,AE,24.4667,54.3667,87.82,70,0,5.75,clear sky
131,Taldan,RU,53.6667,124.8,29.19,91,100,4.34,light snow
132,Nouadhibou,MR,20.931,-17.0347,73.38,73,97,14.97,overcast clouds
133,Victoria,HK,22.2855,114.1577,85.32,75,4,5.01,clear sky
134,Souillac,MU,-20.5167,57.5167,71.37,94,75,5.75,broken clouds
135,Kununurra,AU,-15.7667,128.7333,76.98,83,57,0.0,broken clouds
136,Nikolskoye,RU,59.7035,30.7861,50.88,69,3,10.6,clear sky
137,Tevaitoa,PF,-16.7833,-151.5,78.51,69,0,12.21,clear sky
138,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,13.8,light rain and snow
139,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,94,100,11.59,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,60.15,62,0,2.35,clear sky
141,Mayo,US,38.8876,-76.5119,72.48,86,90,3.0,overcast clouds
142,Butaritari,KI,3.0707,172.7902,82.02,69,85,16.06,overcast clouds
143,Cabo San Lucas,MX,22.8909,-109.9124,95.61,46,1,11.5,clear sky
144,Avarua,CK,-21.2078,-159.775,78.85,65,75,14.97,broken clouds
145,Tocopilla,CL,-22.092,-70.1979,65.59,61,81,4.25,broken clouds
146,Jieshi,CN,22.8134,115.8257,80.29,82,3,18.16,clear sky
147,San Patricio,US,28.017,-97.5169,90.32,35,0,6.85,clear sky
148,Zdzieszowice,PL,50.4248,18.1235,54.9,95,100,3.58,overcast clouds
149,Enshi,CN,30.3,109.4833,68.2,93,92,1.39,overcast clouds
150,Qaanaaq,GL,77.484,-69.3632,20.43,65,1,8.12,clear sky
151,Barrow,US,71.2906,-156.7887,32.02,93,90,10.36,mist
152,Cherskiy,RU,68.75,161.3,10.26,96,97,6.24,overcast clouds
153,Hay River,CA,60.8156,-115.7999,39.16,93,90,5.75,light rain
154,Iqaluit,CA,63.7506,-68.5145,35.37,87,84,7.34,broken clouds
155,Chuy,UY,-33.6971,-53.4616,51.4,67,33,15.5,scattered clouds
156,Chivay,PE,-15.6383,-71.6011,49.26,71,100,7.56,overcast clouds
157,Poum,NC,-20.2333,164.0167,74.1,72,0,11.65,clear sky
158,Fuengirola,ES,36.54,-4.6247,72.09,50,0,6.91,clear sky
159,Moron,AR,-34.6534,-58.6198,59.0,47,6,4.0,clear sky
160,Chokurdakh,RU,70.6333,147.9167,18.36,91,100,9.26,overcast clouds
161,Gazi,GR,35.3253,25.0669,66.0,75,20,5.99,few clouds
